,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
58446,2013-01-01,1,January,2013,19,Youth (<25),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,620,2171,2791
61258,2013-01-01,1,January,2013,37,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Black, 48",1,1555,2443,717,1555,2272
54068,2013-01-01,1,January,2013,36,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
60428,2013-01-01,1,January,2013,29,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-650 Black, 44",1,487,783,186,487,673
67590,2013-01-01,1,January,2013,42,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,346,1083,1429
60200,2013-01-01,1,January,2013,53,Adults (35-64),F,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443,448,1555,2003
60422,2013-01-01,1,January,2013,29,Young Adults (25-34),F,United States,Florida,Bikes,Road Bikes,"Road-650 Red, 62",1,487,783,257,487,744
69450,2013-01-01,1,January,2013,27,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,261,713,974
63026,2013-01-02,2,January,2013,29,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,942,2171,3113
59960,2013-01-02,2,January,2013,30,Young Adults (25-34),M,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1264,2171,3435
62118,2013-01-02,2,January,2013,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,550,1083,1633
58826,2013-01-02,2,January,2013,28,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
65032,2013-01-02,2,January,2013,38,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,397,1083,1480
50652,2013-01-02,2,January,2013,27,Young Adults (25-34),F,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,882,1252,2134
71358,2013-01-02,2,January,2013,29,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,126,344,470
52136,2013-01-02,2,January,2013,27,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,683,1266,1949
52100,2013-01-02,2,January,2013,25,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,752,1266,2018
70847,2013-01-02,2,January,2013,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
70846,2013-01-02,2,January,2013,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
49806,2013-01-02,2,January,2013,25,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,745,1252,1997
67604,2013-01-03,3,January,2013,40,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701,346,1083,1429
52496,2013-01-03,3,January,2013,30,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,561,1252,1813
66980,2013-01-03,3,January,2013,41,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1371,2171,3542
60472,2013-01-03,3,January,2013,30,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,280,487,767
56330,2013-01-03,3,January,2013,29,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
61736,2013-01-03,3,January,2013,25,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,790,1555,2345
49768,2013-01-03,3,January,2013,23,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,752,1266,2018
69604,2013-01-04,4,January,2013,40,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120,172,713,885
67386,2013-01-04,4,January,2013,40,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701,312,1083,1395
64478,2013-01-04,4,January,2013,29,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701,312,1083,1395
61588,2013-01-04,4,January,2013,39,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,397,1083,1480
67740,2013-01-04,4,January,2013,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
67741,2013-01-04,4,January,2013,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
69392,2013-01-04,4,January,2013,36,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
56556,2013-01-04,4,January,2013,44,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-500 Black, 44",1,295,540,126,295,421
62950,2013-01-05,5,January,2013,41,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,656,2171,2827
50152,2013-01-05,5,January,2013,28,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,561,1252,1813
70850,2013-01-05,5,January,2013,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
64532,2013-01-05,5,January,2013,30,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 48",1,1555,2443,570,1555,2125
56876,2013-01-05,5,January,2013,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1031,1266,2297
59556,2013-01-05,5,January,2013,38,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1264,2171,3435
56656,2013-01-05,5,January,2013,41,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,246,308,554
66164,2013-01-06,6,January,2013,28,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,448,1555,2003
67552,2013-01-06,6,January,2013,51,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120,205,713,918
58440,2013-01-07,7,January,2013,19,Youth (<25),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,906,2171,3077
63200,2013-01-07,7,January,2013,41,Adults (35-64),M,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,448,1555,2003
50922,2013-01-07,7,January,2013,29,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,951,1252,2203
52148,2013-01-07,7,January,2013,26,Young Adults (25-34),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,636,1266,1902
51082,2013-01-07,7,January,2013,21,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,184,308,492
59402,2013-01-07,7,January,2013,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,387,1519,1906
62120,2013-01-07,7,January,2013,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,550,1083,1633
59403,2013-01-07,7,January,2013,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,387,1519,1906
68324,2013-01-07,7,January,2013,28,Young Adults (25-34),M,Germany,Saarland,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,312,1083,1395
