,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
112205,2016-01-01,1,January,2016,21,Youth (<25),F,United States,California,Clothing,Vests,"Classic Vest, S",2,24,64,77,48,125
88196,2016-01-01,1,January,2016,41,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,10,2,5,19,20,39
88197,2016-01-01,1,January,2016,41,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,26,2,5,49,52,101
61835,2016-01-01,1,January,2016,31,Young Adults (25-34),F,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,835,2171,3006
6863,2016-01-01,1,January,2016,19,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,20,14,34
58713,2016-01-01,1,January,2016,30,Young Adults (25-34),M,France,Seine (Paris),Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578,1526,4342,5868
30581,2016-01-01,1,January,2016,39,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35,64,39,103
6862,2016-01-01,1,January,2016,19,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,67,46,113
4289,2016-01-01,1,January,2016,29,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,55,36,91
4290,2016-01-01,1,January,2016,29,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,8,3,9,36,24,60
4291,2016-01-01,1,January,2016,29,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,5,3,8
7765,2016-01-01,1,January,2016,49,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16
60169,2016-01-01,1,January,2016,37,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113
4400,2016-01-01,1,January,2016,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,50,36,86
4401,2016-01-01,1,January,2016,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,14,10,24
18213,2016-01-01,1,January,2016,37,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Caps,AWC Logo Cap,7,7,9,6,49,55
97972,2016-01-01,1,January,2016,22,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,Touring Tire Tube,17,2,5,39,34,73
6417,2016-01-01,1,January,2016,37,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,32,22,54
6416,2016-01-01,1,January,2016,37,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,46,32,78
44045,2016-01-01,1,January,2016,24,Youth (<25),F,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",22,38,50,220,836,1056
51371,2016-01-01,1,January,2016,35,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,951,1252,2203
2239,2016-01-01,1,January,2016,24,Youth (<25),F,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,147,78,225
37431,2016-01-01,1,January,2016,52,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35,205,156,361
