,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
58912,2012-01-01,1,January,2012,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837
63710,2012-01-01,1,January,2012,39,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,321,1426,1747
49786,2012-01-01,1,January,2012,23,Youth (<25),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1122,2504,3626
58728,2012-01-01,1,January,2012,33,Young Adults (25-34),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,1097,4342,5439
60992,2012-01-01,1,January,2012,42,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,370,688,1058
69062,2012-01-02,2,January,2012,32,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,724,1426,2150
65740,2012-01-02,2,January,2012,35,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",2,713,1120,769,1426,2195
69600,2012-01-02,2,January,2012,40,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,713,1120,344,1426,1770
63132,2012-01-02,2,January,2012,41,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",2,1555,2443,994,3110,4104
50624,2012-01-03,3,January,2012,38,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,1922,2532,4454
64014,2012-01-03,3,January,2012,47,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,411,1426,1837
57952,2012-01-03,3,January,2012,29,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,2015,2532,4547
63128,2012-01-03,3,January,2012,45,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,198,688,886
52848,2012-01-03,3,January,2012,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1902,2504,4406
67036,2012-01-03,3,January,2012,45,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,381,688,1069
70756,2012-01-03,3,January,2012,39,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,2671,4342,7013
66308,2012-01-03,3,January,2012,42,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,165,688,853
70702,2012-01-04,4,January,2012,38,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1240,4342,5582
58718,2012-01-04,4,January,2012,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,1884,4342,6226
63712,2012-01-04,4,January,2012,39,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,321,1426,1747
60314,2012-01-04,4,January,2012,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",2,487,783,561,974,1535
52850,2012-01-04,4,January,2012,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1902,2504,4406
70190,2012-01-05,5,January,2012,51,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-650 Black, 60",2,487,783,576,974,1550
62164,2012-01-05,5,January,2012,27,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,998,2166,3164
59814,2012-01-05,5,January,2012,37,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 48",2,487,783,561,974,1535
71474,2012-01-06,6,January,2012,44,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,2671,4342,7013
56768,2012-01-06,6,January,2012,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,295,540,479,590,1069
67024,2012-01-06,6,January,2012,48,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,381,688,1069
70592,2012-01-06,6,January,2012,19,Youth (<25),F,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,2742,4342,7084
65742,2012-01-06,6,January,2012,35,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",2,713,1120,769,1426,2195
65992,2012-01-06,6,January,2012,34,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,154,688,842
65778,2012-01-07,7,January,2012,41,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,713,1120,724,1426,2150
69208,2012-01-07,7,January,2012,31,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,1083,1701,1100,2166,3266
67726,2012-01-07,7,January,2012,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,794,2166,2960
69380,2012-01-07,7,January,2012,18,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,165,688,853
70584,2012-01-08,8,January,2012,31,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,1812,4342,6154
70796,2012-01-08,8,January,2012,35,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,1240,4342,5582
50030,2012-01-08,8,January,2012,27,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1122,2504,3626
57574,2012-01-08,8,January,2012,34,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1994,2504,4498
63098,2012-01-08,8,January,2012,39,Adults (35-64),M,Australia,Tasmania,Bikes,Road Bikes,"Road-350-W Yellow, 44",2,1083,1701,590,2166,2756
67180,2012-01-08,8,January,2012,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,794,2166,2960
65744,2012-01-08,8,January,2012,35,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",2,713,1120,769,1426,2195
70314,2012-01-08,8,January,2012,40,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",2,487,783,247,974,1221
71398,2012-01-09,9,January,2012,34,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578,2671,4342,7013
67282,2012-01-09,9,January,2012,17,Youth (<25),F,Canada,British Columbia,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,1202,2166,3368
63080,2012-01-09,9,January,2012,30,Young Adults (25-34),F,Australia,Tasmania,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443,848,3110,3958
67728,2012-01-09,9,January,2012,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,794,2166,2960
71332,2012-01-09,9,January,2012,39,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,1240,4342,5582
65382,2012-01-10,10,January,2012,37,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,321,1426,1747
54816,2012-01-10,10,January,2012,28,Young Adults (25-34),F,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,1266,2320,1273,2532,3805
65476,2012-01-10,10,January,2012,35,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,794,2166,2960
58720,2012-01-10,10,January,2012,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,1884,4342,6226
71462,2012-01-11,11,January,2012,61,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,2671,4342,7013
51182,2012-01-11,11,January,2012,24,Youth (<25),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,1266,2320,1366,2532,3898
64192,2012-01-11,11,January,2012,21,Youth (<25),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 58",2,1555,2443,1141,3110,4251
66880,2012-01-11,11,January,2012,34,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,724,1426,2150
71130,2012-01-11,11,January,2012,38,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,2742,4342,7084
54164,2012-01-11,11,January,2012,34,Young Adults (25-34),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",2,420,769,483,840,1323
63084,2012-01-11,11,January,2012,33,Young Adults (25-34),F,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 58",2,1555,2443,897,3110,4007
56444,2012-01-11,11,January,2012,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",2,295,540,468,590,1058
71324,2012-01-11,11,January,2012,38,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1164,3038,4202
67088,2012-01-12,12,January,2012,29,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443,994,3110,4104
65948,2012-01-12,12,January,2012,33,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,370,688,1058
71476,2012-01-12,12,January,2012,44,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,2671,4342,7013
63328,2012-01-12,12,January,2012,23,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-250 Black, 44",2,1555,2443,750,3110,3860
69642,2012-01-12,12,January,2012,39,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 58",2,1555,2443,1727,3110,4837
58726,2012-01-12,12,January,2012,33,Young Adults (25-34),F,France,Garonne (Haute),Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,2385,4342,6727
58706,2012-01-12,12,January,2012,30,Young Adults (25-34),M,France,Seine (Paris),Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,1526,4342,5868
