,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
58913,2011-01-01,1,January,2011,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419
63711,2011-01-01,1,January,2011,39,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",3,713,1120,482,2139,2621
49787,2011-01-01,1,January,2011,23,Youth (<25),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,561,1252,1813
58729,2011-01-01,1,January,2011,33,Young Adults (25-34),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,1097,4342,5439
60993,2011-01-01,1,January,2011,42,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,185,344,529
69063,2011-01-02,2,January,2011,32,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,362,713,1075
65741,2011-01-02,2,January,2011,35,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,385,713,1098
69601,2011-01-02,2,January,2011,40,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,713,1120,687,2852,3539
63133,2011-01-02,2,January,2011,41,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",3,1555,2443,1491,4665,6156
50625,2011-01-03,3,January,2011,38,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
64015,2011-01-03,3,January,2011,47,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,205,713,918
57953,2011-01-03,3,January,2011,29,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
63129,2011-01-03,3,January,2011,45,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,198,688,886
52849,2011-01-03,3,January,2011,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,1252,2295,3805,5008,8813
67037,2011-01-03,3,January,2011,45,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 44",3,344,540,572,1032,1604
70757,2011-01-03,3,January,2011,39,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578,5342,8684,14026
66309,2011-01-03,3,January,2011,42,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,83,344,427
70703,2011-01-04,4,January,2011,38,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,620,2171,2791
58719,2011-01-04,4,January,2011,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,1884,4342,6226
63713,2011-01-04,4,January,2011,39,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,321,1426,1747
60315,2011-01-04,4,January,2011,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",2,487,783,561,974,1535
52851,2011-01-04,4,January,2011,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,1252,2295,2854,3756,6610
70191,2011-01-05,5,January,2011,51,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-650 Black, 60",3,487,783,865,1461,2326
62165,2011-01-05,5,January,2011,27,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,499,1083,1582
59815,2011-01-05,5,January,2011,37,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 48",1,487,783,280,487,767
71475,2011-01-06,6,January,2011,44,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578,4006,6513,10519
56769,2011-01-06,6,January,2011,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 44",3,295,540,719,885,1604
67025,2011-01-06,6,January,2011,48,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,381,688,1069
70593,2011-01-06,6,January,2011,19,Youth (<25),F,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1371,2171,3542
65743,2011-01-06,6,January,2011,35,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,385,713,1098
65993,2011-01-06,6,January,2011,34,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,77,344,421
65779,2011-01-07,7,January,2011,41,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120,362,713,1075
69209,2011-01-07,7,January,2011,31,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,1083,1701,1100,2166,3266
67727,2011-01-07,7,January,2011,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
69381,2011-01-07,7,January,2011,18,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,83,344,427
70585,2011-01-08,8,January,2011,31,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578,2718,6513,9231
70797,2011-01-08,8,January,2011,35,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578,2479,8684,11163
50031,2011-01-08,8,January,2011,27,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,561,1252,1813
