,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
112204,2014-01-01,1,January,2014,21,Youth (<25),F,United States,California,Clothing,Vests,"Classic Vest, S",3,24,64,116,72,188
88194,2014-01-01,1,January,2014,41,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,13,2,5,25,26,51
88195,2014-01-01,1,January,2014,41,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,55,58,113
61834,2014-01-01,1,January,2014,31,Young Adults (25-34),F,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,835,2171,3006
6861,2014-01-01,1,January,2014,19,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,26,18,44
58712,2014-01-01,1,January,2014,30,Young Adults (25-34),M,France,Seine (Paris),Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,763,2171,2934
30580,2014-01-01,1,January,2014,39,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",6,13,35,128,78,206
6860,2014-01-01,1,January,2014,19,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,64,44,108
4286,2014-01-01,1,January,2014,29,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,15,3,9,68,45,113
4287,2014-01-01,1,January,2014,29,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,7,3,9,32,21,53
4288,2014-01-01,1,January,2014,29,Young Adults (25-34),F,Australia,Queensland,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,5,3,8
7764,2014-01-01,1,January,2014,49,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,4,4,8
60168,2014-01-01,1,January,2014,37,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113
4398,2014-01-01,1,January,2014,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,53,38,91
4399,2014-01-01,1,January,2014,30,Young Adults (25-34),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,11,8,19
18212,2014-01-01,1,January,2014,37,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Caps,AWC Logo Cap,7,7,9,6,49,55
97970,2014-01-01,1,January,2014,22,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,Touring Tire Tube,17,2,5,39,34,73
6415,2014-01-01,1,January,2014,37,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,29,20,49
6414,2014-01-01,1,January,2014,37,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,44,30,74
44044,2014-01-01,1,January,2014,24,Youth (<25),F,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",21,38,50,210,798,1008
51370,2014-01-01,1,January,2014,35,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,951,1252,2203
2237,2014-01-01,1,January,2014,24,Youth (<25),F,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,158,84,242
37430,2014-01-01,1,January,2014,52,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",15,13,35,257,195,452
13870,2014-01-01,1,January,2014,31,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,6,4,10
108998,2014-01-01,1,January,2014,31,Young Adults (25-34),M,United Kingdom,England,Bikes,Touring Bikes,"Touring-3000 Yellow, 58",1,461,742,251,461,712
81723,2014-01-01,1,January,2014,40,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,8,11,30,150,88,238
81722,2014-01-01,1,January,2014,40,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,9,11,30,168,99,267
9918,2014-01-01,1,January,2014,17,Youth (<25),F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,105,54,159
89803,2014-01-01,1,January,2014,39,Adults (35-64),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,11,16,27
47342,2014-01-01,1,January,2014,37,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",28,42,54,139,1176,1315
18682,2014-01-01,1,January,2014,26,Young Adults (25-34),F,Australia,Victoria,Clothing,Caps,AWC Logo Cap,22,7,9,2,154,156
96647,2014-01-01,1,January,2014,52,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,ML Mountain Tire,12,11,30,178,132,310
100717,2014-01-01,1,January,2014,20,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,6,1,4,18,6,24
96646,2014-01-01,1,January,2014,52,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,ML Mountain Tire,19,11,30,281,209,490
100716,2014-01-01,1,January,2014,20,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,3,1,4,9,3,12
101426,2014-01-01,1,January,2014,37,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,9,8,17
43552,2014-01-01,1,January,2014,30,Young Adults (25-34),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,39,168,207
109220,2014-01-01,1,January,2014,47,Adults (35-64),F,United Kingdom,England,Bikes,Touring Bikes,"Touring-1000 Yellow, 50",1,1482,2384,807,1482,2289
